# Version 1.0
# - Intial design point for exponential PDF
# - Number of points per dimension: 10
# - Random Seed: 20210421
# Parameter AlphaS Q0 C1 C2 Tau0 C3
# - Parameter AlphaS: Linear [0.1, 0.5]
# - Parameter Q0: Linear [1, 10]
# - Parameter C1: Log [0.006737946999085467, 10]
# - Parameter C2: Log [0.006737946999085467, 10]
# - Parameter Tau0: Linear [0.0, 1.5]
# - Parameter C3: Log [0.049787068367863944, 100]
2.068062997402060899e-01 9.676105454201680445e+00 3.186547083076729070e+00 9.001122152450058422e+00 2.364245367500705797e-02 3.579149837246598764e+01
3.205478111165095401e-01 9.059920231714936989e+00 3.559890196498605164e-02 5.903738674278493637e-01 1.346249384287016460e+00 1.921386179796399640e-01
2.931190668989668846e-01 9.781335580823776965e+00 6.778264514992241807e+00 4.011096143809432524e-02 1.291725558433227672e+00 7.423928352328786062e-02
1.019696318498494736e-01 6.338552153568816294e+00 1.144249760737315186e-01 2.556648009810294497e-02 3.615573890250152189e-01 3.040138300857468945e+00
2.784614876522542026e-01 8.126254082037441151e+00 1.382696653190642333e-01 6.862338881636784182e-02 2.102941385396127072e-01 2.412288453995792281e+00
4.841644237923617977e-01 4.644632267697823558e+00 1.164919245542600512e-02 8.827918628564467296e-01 1.166274336678774004e+00 3.823666524448763315e-01
2.358795975976859804e-01 3.484753298928852328e+00 4.863242165345352142e+00 8.033419855716802394e-01 1.038635796735172701e+00 1.142116151388434631e+01
1.213712484146370341e-01 9.203332795307513692e+00 5.426326403277981214e-01 2.706428745388550272e+00 2.515568276470471210e-01 5.999727043906012192e+00
1.541425761210627188e-01 6.980998437379120958e+00 9.130817382582469000e-01 1.129831967636893940e-02 1.187812566219258237e+00 7.443915687115626234e+00
1.507667531202591116e-01 6.495443703096886345e+00 1.982340071021278793e-01 1.799014184475269840e+00 1.320160090430821054e+00 1.551455970958289243e-01
2.518308918709185606e-01 1.264168230556473649e+00 6.567133163176352983e-02 4.397292620984644351e+00 1.461480996939923838e+00 1.825824761764525572e+00
1.442926950236075589e-01 1.774010745243185916e+00 5.250947458776097365e-01 1.632703745889284644e-02 1.226298914438856746e+00 1.490748711014331995e+01
4.302020142216610443e-01 6.769233621162968007e+00 1.698924360412416013e-01 5.851289920585249493e-02 3.196569549846008385e-01 6.836682340422113313e-01
3.602796748228775936e-01 4.451399742974064822e+00 1.034353028228125748e-01 1.320957502975178832e-01 1.005034094553399315e+00 6.952645557784033203e-02
3.197899251839625423e-01 3.887001829678243148e+00 2.955398845887950363e-02 3.603588682028564111e-02 1.256465520872200869e+00 9.383338200819240082e-01
4.053247612776972320e-01 3.058969257266950681e+00 6.333101970406692649e-01 2.030970278839448057e-02 1.429117658835807214e+00 4.604813101344269199e+01
4.619521469113397893e-01 2.198771492702404906e+00 3.903724498041693386e-02 7.149893402310468840e-03 6.332553766217874358e-01 2.972021197262389691e+01
2.665331355290589954e-01 2.664876714938082092e+00 9.812607808634290704e-03 1.791295858654221029e-02 5.439187876422157952e-01 1.208505479368471525e+00
3.840125439309087785e-01 5.860224147379192949e+00 4.851931323619233100e-02 7.744560475540281097e-02 8.129846464875984946e-01 3.710603298848279774e+00
3.772161510547150653e-01 6.670010645304874863e+00 3.153135148010172140e-01 1.248736003285843443e+00 4.551220318537677612e-01 2.345507218570661934e+01
4.249871545295302866e-01 6.130605345194334532e+00 1.529538521764169448e-02 3.841468057263131453e+00 2.969457519538010182e-01 5.212114079240816045e-01
1.120784652539342507e-01 7.083262742395342038e+00 2.297833595290778019e-01 2.171154221278943364e-01 1.396989546373788249e+00 4.704706658764137850e-01
2.710431907155433917e-01 8.009960694404451687e+00 2.879297799389897786e-02 9.125834179226288700e-02 3.967644606261502283e-01 2.895664736394400474e-01
4.075206383091080076e-01 8.892397817539027471e+00 1.542547883318600377e+00 3.901191284598354847e-01 1.405969905284538468e+00 1.712767344874584197e+01
4.355884500399633819e-01 9.428203710192311959e+00 5.727655766098835421e+00 5.375464971697302197e+00 8.862809836045246747e-01 5.128367228040715275e+01
4.928538909355070219e-01 5.553307685302860897e+00 9.286890398150907111e-03 9.927821087507734399e-01 8.746247414035218659e-01 1.187133845949016475e+01
3.948307707456256699e-01 2.917568767672809926e+00 1.772800115969541013e+00 1.062887546414083700e-01 1.069300311907749768e+00 9.024326452866033854e-01
2.291477801589167640e-01 1.083133977119802527e+00 4.242781751688863567e-02 2.918681977247767345e-01 7.006791855306390149e-01 2.227065762241355329e-01
3.562138458862946777e-01 4.900784442031437038e+00 1.327647712233859245e+00 3.544776363788509355e-01 7.766301147815124484e-01 1.140708150228961076e-01
2.429293665979630201e-01 5.764148614004215077e+00 2.520556798802601681e-02 1.787930958858314767e-01 1.211598284420308369e+00 6.590301090987890120e+01
2.840862638832968301e-01 4.305296703241035416e+00 3.504029325754770774e+00 6.063614093563066132e-02 2.477305051465389929e-01 6.400989276915363568e+00
3.529538389182981240e-01 7.261860067409685371e+00 8.158558203210847237e-03 3.115715460812658044e+00 1.113467544948817611e+00 3.850812901099876484e+01
4.749379514122167301e-01 4.030372084024785195e+00 1.696683918159468119e-02 8.091623008089547042e+00 9.874453127008573361e-01 1.041325147603823914e-01
3.874766758420061796e-01 6.093711022017906487e+00 1.860976091088351936e+00 4.571148550599268140e-02 1.077636842498915781e+00 9.536051016327647289e+00
4.546498032657328991e-01 1.355191112695312672e+00 4.458018646904029936e+00 1.423263880850932139e+00 7.664195026181073178e-01 2.056867514729350699e+00
3.125794993347285056e-01 9.299039742450711188e+00 7.087755737388784505e-02 6.278104542664967314e-01 4.455525790150056120e-01 4.477174272364734975e+00
3.443054054177013823e-01 3.572333207549866607e+00 3.788974778397955046e+00 2.488766773635628371e-01 1.484510500187689042e+00 1.694367518408632645e+00
2.019060452615943912e-01 7.645840632323531949e+00 8.706060062715507974e-02 7.040407595317220713e-01 1.943902962731332007e-01 2.008296379243749996e+01
1.987729795931241217e-01 5.181497614274229946e+00 1.974023486646776099e-02 3.140536345079330549e-01 4.911191634752029578e-02 1.527018774662300871e+01
3.724091333090896461e-01 7.449450150644086222e+00 7.175634708022472275e+00 1.310205573750343119e-02 6.050941614781922828e-01 9.046982967537746390e-02
1.923100955912685484e-01 3.755246429576027278e+00 3.526663996102982201e-01 8.565714572902026480e-03 3.380832407798685102e-01 1.342522127157032286e-01
1.727928435575970534e-01 5.417291594643181440e+00 1.284123981081112566e-02 5.086499708574399037e-02 7.321784489521143691e-01 8.027471070533163555e+00
2.950149401344890898e-01 2.458310640730410501e+00 8.618017365318490774e-02 2.144479051730624697e+00 9.482136047584599492e-02 3.435911900535553731e-01
3.050336128583085449e-01 2.632929367069761106e+00 6.953980455780670381e-03 9.843103948695773597e-03 9.644398341470289404e-01 2.320109731425479827e-01
1.297369299818276200e-01 3.338956650128017678e+00 5.621111309530475025e-02 2.617934549502163102e-02 5.658645604387575467e-01 3.410797596199576454e+00
2.589466570192671124e-01 7.808728854726674662e+00 8.632077320976195844e-01 7.134050073521946089e+00 1.449478539903973351e-01 1.649453275559754073e-01
3.381899378477440932e-01 4.811893276127293895e+00 2.875852536501066203e-01 6.336275763175540199e+00 9.098992618165613333e-01 1.146809726710418254e+00
